16 4330 15933
0 98 -0.0894795 -0.252668
1 98 -0.0430319 -0.269253
0 99 -0.0905854 -0.0381738
1 99 -0.030867 -0.0669205
0 100 -0.00321957 -0.250457
1 100 0.0365927 -0.269253
0 101 -0.0596203 -0.248246
1 101 -0.0131726 -0.26483
0 102 -0.00874906 -0.248246
1 102 0.033275 -0.267042
0 103 9.81213e-05 -0.248246
1 103 0.0388045 -0.268147
0 104 -0.0773147 -0.24714
1 104 -0.030867 -0.263725
0 105 -0.101644 -0.246035
1 105 -0.0574085 -0.262619
0 106 -0.0662557 -0.246035
1 106 -0.0187021 -0.262619
0 107 -0.00764316 -0.241612
1 107 0.033275 -0.261514
0 108 -0.0994326 -0.240506
1 108 -0.0540908 -0.258197
0 109 -0.0939031 -0.239401
1 109 -0.0496672 -0.257091
0 110 -0.0640439 -0.239401
1 110 -0.0175962 -0.257091
0 111 -0.0883736 -0.238295
1 111 -0.0408201 -0.25488
0 112 0.0089453 -0.0448077
1 112 0.0520753 -0.0757657
0 113 -0.0795265 -0.237189
1 113 -0.0330788 -0.25488
0 114 -0.0662557 -0.237189
1 114 -0.0187021 -0.25488
0 115 -0.0695734 -0.236084
1 115 -0.0220198 -0.253774
0 116 -0.062938 -0.236084
1 116 -0.0142785 -0.253774
0 117 -0.00764316 -0.236084
1 117 0.033275 -0.25488
0 118 -0.104962 -0.234978
1 118 -0.0585144 -0.251563
0 119 -0.0927972 -0.233873
1 119 -0.0485613 -0.251563
0 120 -0.00543136 -0.232767
1 120 0.0354868 -0.252668
0 121 -0.0894795 -0.228344
1 121 -0.0441378 -0.246035
0 122 -0.0751029 -0.228344
1 122 -0.0286552 -0.246035
0 123 -0.0861618 -0.223922
1 123 -0.041926 -0.242718
0 124 -0.0828442 -0.222816
1 124 -0.0386083 -0.241612
0 125 -0.0474555 -0.220605
1 125 -0.00321957 -0.239401
0 126 -0.0817383 -0.219499
1 126 -0.0375024 -0.238295
0 127 -0.0784206 -0.219499
1 127 -0.0341847 -0.239401
0 128 -0.0872677 -0.218394
