15 5780 17501
1 97 -0.0228286 -0.157637
0 98 0.0323055 -0.110565
1 98 0.0470976 -0.156292
0 99 -0.0564469 -0.0971164
1 99 -0.0376207 -0.145533
0 100 -0.0174497 -0.0971164
1 100 0.00204896 -0.14105
0 17 -0.0214839 -0.0944266
0 101 -0.0174497 -0.0903919
1 101 0.00137662 -0.136118
0 102 -0.00803655 -0.089047
1 102 0.0107898 -0.133429
0 103 0.0914738 -0.0877022
1 103 0.107386 -0.127601
0 104 -0.188231 -0.0782879
1 104 -0.163802 -0.119756
0 105 0.00541079 -0.076943
1 105 0.0228924 -0.121325
0 21 0.147953 -0.0661838
0 106 0.0524765 -0.0594593
1 106 0.0699581 -0.101151
0 107 0.254187 -0.0567695
1 107 0.162745 -0.173776
0 108 -0.123684 -0.0339063
1 108 -0.100823 -0.076943
0 109 0.325458 -0.0285266
1 109 0.34025 -0.063494
0 110 -0.0846864 -0.0191124
1 110 -0.0629465 -0.0592352
0 111 0.00810029 -0.0177675
1 111 0.0300643 -0.0502692
0 112 0.0470976 -0.0123879
1 112 0.0645792 -0.0567695
0 112 0.0497871 -0.011043
0 113 -0.0604812 -0.00566339
1 113 -0.0403102 -0.0487001
0 114 0.307976 -0.0029736
1 114 0.321423 -0.0406307
0 115 -0.0779627 0.00375089
1 115 -0.0559091 -0.0341752
0 116 0.243429 0.00644068
1 116 0.260372 -0.0293336
0 117 -0.0322417 0.0131652
1 117 0.0928185 0.316215
0 30 -0.0819969 0.0225795
0 118 0.273013 0.0494774
1 118 0.286684 0.0136135
0 119 0.266289 0.054857
1 119 0.278392 0.0145101
0 120 0.278392 0.0575468
1 120 0.290494 0.0185448
0 39 0.268979 0.0669611
0 121 0.283771 0.0723407
1 121 0.295873 0.0333386
0 122 0.211155 0.0736856
1 122 0.22281 0.0315454
0 123 0.275702 0.0736856
1 123 0.287805 0.0346835
0 124 0.274358 0.08041
1 124 0.28646 0.0400631
0 125 0.254187 0.0884794
1 125 0.262309 0.0429681
0 43 0.294529 0.0898244
0 44 -0.0241733 0.105963
0 126 -0.0295522 0.109998
1 126 -0.0147602 0.0588917
0 127 -0.0147602 0.116722
1 127 -0.000192268 0.0651679
0 128 0.0995422 0.130171
1 128 0.105459 0.0707268
0 129 0.252842 0.131516
1 129 0.258436 0.0817012
0 130 0.217879 0.134206
1 130 0.224603 0.0857897
0 131 0.055166 0.136896
1 131 0.0659238 0.0842206
0 132 0.0578555 0.139586
1 132 0.0692857 0.0853413
0 133 0.0107898 0.147655
1 133 0.0244612 0.0943073
0 134 0.156021 0.147655
1 134 0.161938 0.0933211
0 135 0.147953 0.150345
1 135 0.151856 0.0894479
0 136 -0.030897 0.15169
1 136 -0.015567 0.0997766
0 137 0.00944504 0.158414
1 137 0.0231613 0.104618
0 56 0.0470976 0.165139
0 138 0.055166 0.171863
1 138 0.0659238 0.118067
0 139 0.205776 0.175898
1 139 0.215189 0.128826
0 140 0.255531 0.177243
1 140 0.267634 0.136896
0 141 -0.0497233 0.185312
1 141 -0.0322417 0.14093
0 63 -0.0631706 0.186657
0 64 -0.0604812 0.189347
0 142 0.0565107 0.189347
1 142 0.0672686 0.136896
0 143 -0.0591364 0.193381
1 143 -0.0429996 0.147655
0 144 -0.051068 0.197416
1 144 -0.0349312 0.153035
0 145 -0.0551023 0.198761
1 145 -0.0381586 0.154648
0 146 -0.0497233 0.200106
1 146 -0.0333176 0.156262
0 147 -0.051068 0.204141
1 147 -0.0349312 0.15949
0 148 0.0766818 0.20683
1 148 0.0874396 0.154379
0 149 0.199053 0.208175
1 149 0.208466 0.161104
0 150 0.23805 0.208175
1 150 0.25069 0.168851
0 151 0.208466 0.210865
1 151 0.218417 0.165946
0 152 0.232671 0.210865
1 152 0.244236 0.170787
0 153 0.0269266 0.21221
1 153 0.0390291 0.161104
0 154 0.0565107 0.228349
1 154 0.0672686 0.177243
0 155 -0.0443443 0.231039
1 155 -0.0268628 0.189347
0 156 0.217879 0.241798
1 156 0.22939 0.20371
0 157 -0.0416549 0.249867
1 157 -0.0259663 0.208624
0 158 0.196363 0.255247
1 158 0.207121 0.212748
0 159 0.217879 0.260626
1 159 0.231326 0.221624
0 160 0.0632344 0.261971
1 160 0.0747991 0.212748
0 161 0.20981 0.268696
1 161 0.223258 0.229694
0 162 0.204432 0.27273
1 162 0.216803 0.235342
0 163 0.0632344 0.288869
1 163 0.0747991 0.241798
0 164 0.0632344 0.292904
1 164 0.0748887 0.24785
0 83 0.00810029 0.306353
0 84 0.0659238 0.317112
0 165 -0.260847 -0.31499
1 165 -0.228767 -0.359081
0 86 -0.252778 -0.297237
0 166 -0.239869 -0.297237
1 166 -0.208402 -0.341888
0 167 -0.251165 -0.290782
1 167 -0.21916 -0.336508
0 168 0.450787 -0.260118
1 168 0.463741 -0.295713
0 169 -0.0317039 -0.243979
1 169 -0.0228286 -0.297506
0 170 -0.180163 -0.23591
1 170 -0.15273 -0.282712
0 171 -0.186617 -0.224613
1 171 -0.158647 -0.271953
0 90 0.147415 -0.219771
0 91 -0.0139533 -0.187494
0 13 -0.00265756 -0.166513
0 92 0.00056974 -0.163285
0 172 0.00379711 -0.15683
1 172 0.024775 -0.195563
0 173 -0.0639775 -0.153602
1 173 -0.0429996 -0.197177
0 174 -0.0688185 -0.137463
1 174 -0.0470338 -0.181845
0 175 -0.046227 -0.137463
1 175 -0.0252491 -0.179424
0 176 -0.0736595 -0.116483
1 176 -0.0526817 -0.163285
0 177 -0.0429996 -0.113255
1 177 -0.0242809 -0.158444
0 178 0.0328434 -0.111641
1 178 0.0390291 -0.17131
0 179 -0.0171807 -0.0971164
1 179 0.00137662 -0.141498
0 180 -0.0204081 -0.0938887
1 180 -0.00265756 -0.139077
0 181 -0.0091123 -0.0906609
1 181 0.0102518 -0.134236
0 182 0.0909359 -0.089047
1 182 0.107073 -0.129394
0 183 0.00541079 -0.0874332
1 183 0.0242371 -0.129394
0 184 -0.00104388 -0.0777499
1 184 0.0183203 -0.121325
0 185 0.0102518 -0.0680666
1 185 0.0280024 -0.111641
0 186 -0.00265756 -0.0438585
1 186 0.0199787 -0.0771671
0 187 -0.115615 -0.0390169
1 187 -0.0927548 -0.0823225
0 108 -0.123684 -0.0341752
0 109 0.326533 -0.0277197
0 188 -0.0785006 -0.0180365
1 188 -0.0591364 -0.0616111
0 116 0.244236 0.00617171
0 189 -0.0429996 0.0206966
1 189 -0.0126623 0.0225172
0 190 0.273282 0.0465186
1 190 0.286191 0.00939947
0 191 0.273282 0.0497464
1 191 0.287482 0.0139183
0 119 0.265213 0.0513603
0 192 0.278123 0.0562019
1 192 0.291032 0.0190827
0 193 0.284578 0.0723407
1 193 0.297487 0.0319938
0 123 0.274896 0.0739546
0 194 -0.0897964 0.0755684
1 194 -0.0719114 0.0102512
0 195 0.234554 0.08041
1 195 0.244881 0.0371582
0 196 0.239395 0.0836378
1 196 0.249077 0.0384492
0 197 0.186143 0.103004
1 197 0.197035 0.0584434
0 198 0.155483 0.10946
1 198 0.165165 0.0594296
0 199 0.17162 0.114301
1 199 0.178075 0.0642713
0 128 0.0973906 0.123985
0 200 -0.0785006 0.127213
1 200 -0.0645154 0.0535121
0 201 0.170006 0.127213
1 201 0.178075 0.0787962
0 129 0.252304 0.13044
0 202 0.0489802 0.13851
1 202 0.0605449 0.0844447
0 203 0.0586623 0.140123
1 203 0.0686133 0.0857897
0 204 -0.0704322 0.148193
1 204 -0.0591364 0.066208
0 135 0.149028 0.149807
0 205 -0.0639775 0.153035
1 205 -0.046227 0.107846
0 206 0.268441 0.153035
1 206 0.277336 0.111758
0 207 -0.0720459 0.157876
1 207 -0.0526817 0.114301
0 208 -0.0607501 0.157876
1 208 -0.0417087 0.114624
0 209 0.0102518 0.157876
1 209 0.0221932 0.104941
0 210 0.261986 0.162718
1 210 0.273927 0.122371
0 211 0.0554349 0.165946
1 211 0.0667307 0.112688
0 212 0.226485 0.167559
1 212 0.235199 0.122371
0 213 -0.0704322 0.174015
1 213 -0.0526817 0.13044
0 214 0.150642 0.175629
1 214 0.157742 0.122371
0 215 0.0522076 0.185312
1 215 0.0635033 0.132054
0 216 -0.0591364 0.193381
1 216 -0.0413859 0.148193
0 145 -0.0542954 0.198223
0 217 -0.051068 0.198223
1 217 -0.0349312 0.153035
0 218 0.242622 0.203065
1 218 0.254563 0.164977
0 219 -0.051068 0.204679
1 219 -0.0339629 0.163041
0 72 0.239395 0.207906
0 220 0.0263887 0.212748
1 220 0.0392982 0.161104
0 221 -0.051068 0.219203
1 221 -0.0349312 0.177243
0 222 -0.0429996 0.230501
1 222 -0.0262173 0.188217
0 223 0.205507 0.232115
1 223 0.215835 0.188217
0 224 -0.0365449 0.236956
