9 8996 28219
0 0 0.450294 -0.315886
1 0 0.293408 -0.228468
0 1 0.492877 -0.30692
1 1 0.330388 -0.219502
0 2 0.417796 -0.296834
1 2 0.264272 -0.211657
0 3 -0.0573435 -0.27666
1 3 -0.167163 -0.20157
0 4 -0.0607053 -0.258728
1 4 -0.171646 -0.183638
0 5 -0.0573435 -0.253125
1 5 -0.166715 -0.179155
0 6 0.397625 -0.253125
1 6 0.250825 -0.172431
0 7 -0.279225 -0.232951
1 7 -0.386803 -0.158982
0 8 -0.0382931 -0.232951
1 8 -0.148113 -0.160102
0 9 -0.3431 -0.23183
1 9 -0.450678 -0.157861
0 10 0.505204 -0.218381
1 10 0.353966 -0.135849
0 11 0.346077 -0.207174
1 11 0.227292 -0.134325
0 12 -0.0517404 -0.20157
1 12 -0.16044 -0.130963
0 13 -0.00131288 -0.198208
1 13 -0.110012 -0.127601
0 14 -0.0416549 -0.195966
1 14 -0.149234 -0.125359
0 15 0.00316957 -0.195966
1 15 -0.104409 -0.125359
0 16 0.513048 -0.191483
1 16 0.386419 -0.116393
0 17 0.368489 -0.18588
1 17 0.248584 -0.113031
0 18 0.459259 -0.18588
1 18 0.322768 -0.10922
0 19 0.465982 -0.183638
1 19 0.326533 -0.105186
0 20 0.368489 -0.182517
1 20 0.248808 -0.10922
0 21 0.514169 -0.180276
1 21 0.389781 -0.106307
0 22 0.486153 -0.169068
1 22 0.31582 -0.0850124
0 23 0.0132551 -0.167948
1 23 -0.096789 -0.0984613
0 24 -0.298275 -0.165706
1 24 -0.403388 -0.0971164
0 25 -0.0282076 -0.160102
1 25 -0.138028 -0.0906161
0 26 0.342715 -0.153378
1 26 0.217206 -0.0805294
0 27 0.460379 -0.153378
1 27 0.320303 -0.0771671
0 28 -0.355426 -0.148895
1 28 -0.456281 -0.0816501
0 29 0.00765202 -0.136567
1 29 -0.105933 -0.0680666
0 30 0.00429018 -0.135446
1 30 -0.104409 -0.0670804
0 31 0.432364 -0.132084
1 31 0.29677 -0.0569937
0 32 0.509686 -0.132084
1 32 0.37073 -0.0569937
0 33 0.445811 -0.127601
1 33 0.307976 -0.0525107
0 34 0.436846 -0.125359
1 34 0.302373 -0.0502692
0 35 0.355042 -0.120876
1 35 0.206 -0.0457862
0 36 -0.0136396 -0.114152
1 36 -0.122339 -0.0473552
0 37 0.31582 -0.11191
1 37 0.195018 -0.0419756
0 38 -0.358788 -0.107427
1 38 -0.461212 -0.0419756
0 39 0.432364 -0.102944
1 39 0.299011 -0.0300957
0 40 0.48055 -0.100703
1 40 0.342715 -0.0256127
0 41 -0.347582 -0.0984613
1 41 -0.450678 -0.033458
0 42 0.492877 -0.0962198
1 42 0.360421 -0.0218022
0 43 0.47943 -0.0939784
1 43 0.341594 -0.020009
0 44 0.463741 -0.0906161
1 44 0.327026 -0.0177675
0 45 0.496239 -0.0906161
1 45 0.360421 -0.0177675
0 46 -0.209747 -0.0883746
1 46 -0.327411 -0.020009
0 47 0.458138 -0.0883746
1 47 0.322544 -0.015526
0 48 -0.213109 -0.0872539
1 48 -0.0998012 -0.0674211
0 49 -0.131304 -0.0838916
1 49 -0.250089 -0.0166467
0 50 0.457017 -0.0838916
1 50 0.321423 -0.011043
0 51 0.464862 -0.0838916
1 51 0.328147 -0.011043
0 52 -0.346461 -0.0827709
1 52 -0.448437 -0.0188882
0 53 0.444691 -0.0827709
1 53 0.309097 -0.00992225
0 54 0.433485 -0.0816501
1 54 0.299011 -0.00992225
0 55 -0.186214 -0.0794086
1 55 -0.306119 -0.0121637
0 56 -0.330773 -0.0782879
1 56 -0.433869 -0.0144052
0 57 0.330388 -0.0693219
1 57 0.210483 -0.000956267
0 58 -0.189576 -0.0670804
1 58 -0.309481 0.00016448
0 59 0.328147 -0.0659597
1 59 0.209362 0.00240598
0 60 0.309097 -0.0581144
1 60 0.193674 0.0102512
0 61 0.487274 -0.0569937
1 61 0.359524 0.0136135
0 62 -0.464126 -0.0558729
1 62 -0.595685 0.0131652
0 63 0.482791 -0.0491484
1 63 0.355042 0.0212346
0 64 0.490636 -0.0457862
1 64 0.361765 0.0248209
0 65 0.27884 -0.0424239
1 65 0.1679 0.0237002
0 66 0.302373 -0.0424239
1 66 0.189191 0.0248209
0 67 -0.364391 -0.0345787
1 67 -0.487658 0.0315454
0 68 0.436846 -0.0345787
1 68 0.305735 0.0371492
0 69 0.392022 -0.028975
1 69 0.265393 0.0405114
0 70 -0.432748 -0.0222505
1 70 -0.552923 0.0410315
0 71 0.313579 0.00240598
1 71 0.193674 0.0696509
0 72 0.543305 0.0248209
1 72 0.418917 0.0943073
0 73 0.313579 0.0293039
1 73 0.193674 0.0954281
0 74 0.3147 0.0349077
1 74 0.194794 0.101032
0 75 0.450294 0.0360284
1 75 0.319182 0.104394
0 76 0.458138 0.0382699
1 76 0.325906 0.107756
0 77 0.499601 0.0382699
1 77 0.367368 0.107756
0 78 0.450294 0.0416322
1 78 0.319182 0.109998
0 79 0.440208 0.0427529
1 79 0.307976 0.112239
0 80 0.371851 0.0438737
1 80 0.244101 0.111119
0 81 0.508566 0.0438737
1 81 0.375213 0.11336
0 82 0.331509 0.0461151
1 82 0.209362 0.112239
0 83 0.449173 0.0472359
1 83 0.317389 0.115377
0 84 -0.465246 0.0494774
1 84 -0.592996 0.112239
0 85 0.331509 0.0517189
1 85 0.209362 0.117843
0 86 -0.468608 0.0539604
1 86 -0.596358 0.115602
0 87 0.367368 0.0573226
1 87 0.250825 0.124568
0 88 -0.0763939 0.0584434
1 88 -0.183973 0.118964
0 89 -0.448437 0.0606849
1 89 -0.577307 0.122326
0 90 0.302373 0.0618056
